1,2,3,4,5,6,7
1,2,3,4,5,6,8
1,2,3,4,5,6,9
1,2,3,4,5,6,10
1,2,3,4,5,6,11
1,2,3,4,5,6,12
1,2,3,4,5,6,13
1,2,3,4,5,6,14
1,2,3,4,5,6,15
1,2,3,4,5,6,16
1,2,3,4,5,6,17
1,2,3,4,5,6,18
1,2,3,4,5,6,19
1,2,3,4,5,6,20
1,2,3,4,5,6,21
1,2,3,4,5,6,22
1,2,3,4,5,6,23
1,2,3,4,5,6,24
1,2,3,4,5,6,25
1,2,3,4,5,6,26
1,2,3,4,5,6,27
1,2,3,4,5,6,28
1,2,3,4,5,6,29
1,2,3,4,5,6,30
1,2,3,4,5,6,31
1,2,3,4,5,6,32
1,2,3,4,5,6,33
1,2,3,4,5,6,34
1,2,3,4,5,6,35
1,2,3,4,5,6,36
1,2,3,4,5,6,37
1,2,3,4,5,6,38
1,2,3,4,5,6,39
1,2,3,4,5,6,40
1,2,3,4,5,6,41
1,2,3,4,5,6,42
1,2,3,4,5,6,43
1,2,3,4,5,6,44
1,2,3,4,5,6,45
1,2,3,4,5,6,46
1,2,3,4,5,6,47
1,2,3,4,5,6,48
1,2,3,4,5,6,49
1,2,3,4,5,7,8
1,2,3,4,5,7,9
1,2,3,4,5,7,10
1,2,3,4,5,7,11
1,2,3,4,5,7,12
1,2,3,4,5,7,13
1,2,3,4,5,7,14
1,2,3,4,5,7,15
1,2,3,4,5,7,16
1,2,3,4,5,7,14
1,2,3,4,5,7,18
1,2,3,4,5,7,19
1,2,3,4,5,7,20
1,2,3,4,5,7,21
1,2,3,4,5,7,22
1,2,3,4,5,7,23
1,2,3,4,5,7,24
1,2,3,4,5,7,25
1,2,3,4,5,7,26
1,2,3,4,5,7,27
1,2,3,4,5,7,28
1,2,3,4,5,7,29
1,2,3,4,5,7,30
1,2,3,4,5,7,31
1,2,3,4,5,7,32
1,2,3,4,5,7,33
1,2,3,4,5,7,34
1,2,3,4,5,7,35
1,2,3,4,5,7,36
1,2,3,4,5,7,37
1,2,3,4,5,7,38
